n,mean,increment,support_end,dominance_active_count,monotone_active_count,active_signature,signature_changed,tail_l1_move,solver_method,max_constraint_violation,d2_l1,d3_l1,d4_l1,d4_l2sq,tail_entropy,second_moment,third_moment
32,1.3423380197895027,0.01969779501167368,4,128,123,615dacbac7fff224c036,False,0.019697795011673618,highs,1.1102230246251565e-16,0.5933188848336246,0.7926607739548386,0.7634835533059935,0.2802907279989867,1.4554651146479716,2.5551495094357346,5.537687058858719
33,1.3614627163942927,0.019124696604789992,4,128,123,615dacbac7fff224c036,False,0.019124696604790055,highs,1.1102230246251565e-16,0.5861491502411627,0.7936187078631531,0.7964069484050356,0.29226725459295966,1.4681429808473854,2.6179579588870627,5.7340314591979675
34,1.3800311122080384,0.018568395813745697,4,128,123,615dacbac7fff224c036,False,0.018568395813745794,highs,5.551115123125783e-17,0.5792123199702631,0.7940072197535243,0.826609017216804,0.3042241735786601,1.4802308688291077,2.6795499668455274,5.92833390246866
35,1.3980602261788464,0.018029113970807975,5,128,122,c494a824e7539b058771,True,0.018029113970807708,highs,1.0842021724855044e-19,0.5860623060379017,0.7939206982431677,0.8544559315886952,0.31611285296053027,1.4918416381886885,2.7399515713517295,6.120733362641055
36,1.41557002563565,0.017509799456803643,5,128,122,c494a824e7539b058771,False,0.017509799456803966,highs,0.0,0.5974379725728611,0.7935728432718191,0.8807595805424167,0.3282065990302085,1.503241352048146,2.799307441456664,6.312508995154594
37,1.432580921479775,0.01701089584412485,5,128,122,c494a824e7539b058771,False,0.01701089584412474,highs,0.0,0.6081746822674009,0.7929929066023197,0.905470859154088,0.34035906067761545,1.5143349040523375,2.8576246679145387,6.503433398050249
38,1.4491128127930823,0.016531891313307456,5,128,122,c494a824e7539b058771,False,0.016531891313307505,highs,1.3877787807814457e-17,0.61829324834942,0.7921962606090752,0.928609726611007,0.35244711182215205,1.5251182580589637,2.9149217943029306,6.693364579522883
39,1.4651847552975084,0.016071942504426007,5,128,122,c494a824e7539b058771,False,0.016071942504425844,highs,0.0,0.6278190951152869,0.7911935105167096,0.9502249227932891,0.3643690873797506,1.5356020568635926,2.9712210354123982,6.882199113596316
40,1.4808148769739473,0.01563012167643918,5,128,122,c494a824e7539b058771,False,0.015630121676438898,highs,0.0,0.6367791005780123,0.7899939494648871,0.970376940146121,0.37604182196621966,1.5458008586407677,3.026545240976201,7.069852802108151
41,1.4960203882156453,0.015205511241698,5,128,122,c494a824e7539b058771,False,0.015205511241698087,highs,0.0,0.6452002381680118,0.7886067594579441,0.9891306381469148,0.38739789695215465,1.5557297663946625,3.0809167725731204,7.256252588197156
42,1.5108902686150965,0.01486988039945114,5,128,122,d11a625ee74a83eeb4b6,True,0.014869880399451129,highs,0.0,0.6526716425624036,0.7862353886165467,1.002972256865184,0.3957630251222126,1.5655783768364282,3.134720358009072,7.442878220611939
43,1.5259414041125707,0.0150511354974745,5,128,122,d11a625ee74a83eeb4b6,False,0.015051135497474232,highs,1.1102230246251565e-16,0.6564742020140104,0.7778000526111469,0.9899451711625752,0.38501832616807097,1.5764509565786171,3.190483445589829,7.639958993571325
44,1.5411133208136676,0.015171916701097077,5,128,122,d11a625ee74a83eeb4b6,False,0.015171916701096657,highs,0.0,0.6589905519591838,0.7674425600288901,0.9724364432289568,0.371545487911339,1.58785739039015,3.2478496480095043,7.843300031075014
45,1.5563567648200023,0.015243444006334927,5,128,122,d11a625ee74a83eeb4b6,False,0.015243444006334927,highs,3.469446951953614e-18,0.6604720826829295,0.7556350503266956,0.9515544087361735,0.3562817539898261,1.5996978952545071,3.3065214643490726,8.05229928029925
46,1.5716337270589618,0.01527696223895969,6,128,121,a05422d9074983a5b69e,True,0.015276962238959592,highs,5.551115123125783e-17,0.6610942330180347,0.7426592652021983,0.9277926394790814,0.3397054291836962,1.612042830531996,3.3663441516972763,8.267613183072239
47,1.5869133415346333,0.015279614475671499,6,128,121,a05422d9074983a5b69e,False,0.015279614475671457,highs,0.0,0.6610482204084991,0.7288742679400075,0.9021288444703128,0.32259781311900165,1.6246791770256335,3.4270968470582113,8.488381912883243
48,1.602169872381006,0.015256530846372796,6,128,121,a05422d9074983a5b69e,False,0.015256530846372685,highs,2.220446049250313e-16,0.6604743813389946,0.71455504350347,0.8752575592070718,0.30549007647441395,1.6374973999139357,3.4885856752710867,8.713817965671973
49,1.617381691810358,0.015211819429352236,6,128,121,a05422d9074983a5b69e,False,0.015211819429352205,highs,3.469446951953614e-18,0.6594778729360649,0.6999037909184062,0.8476588846363688,0.28872373685297753,1.6504144006374406,3.5506466816447073,8.943279296596002
50,1.6325306051708182,0.01514891336045987,6,128,121,a05422d9074983a5b69e,False,0.015148913360460056,highs,4.336808689942018e-19,0.6581405836234633,0.6850703726409587,0.8196771859868754,0.2725187087276479,1.6633644563029195,3.6131404371181204,9.176223953345566
